2016-12-12 11:20:08 INFO  Server:179 - Server started...
2016-12-12 11:21:02 INFO  Server:29 - Creating airline...
2016-12-12 14:48:12 INFO  Server:190 - Server started...
2016-12-12 14:49:05 INFO  Server:40 - Creating airline...
2016-12-12 14:49:08 INFO  Server:46 - Getting list of airlines...
2016-12-12 14:49:09 INFO  Server:61 - Getting amount of airlines...
2016-12-12 14:49:15 INFO  Server:67 - Adding passenger airplane into airline...
2016-12-12 14:49:19 INFO  Server:46 - Getting list of airlines...
2016-12-12 14:49:21 INFO  Server:61 - Getting amount of airlines...
2016-12-12 14:49:21 INFO  Server:97 - Getting total capacity...
2016-12-12 14:49:25 INFO  Server:46 - Getting list of airlines...
2016-12-12 14:49:26 INFO  Server:61 - Getting amount of airlines...
2016-12-12 14:49:26 INFO  Server:79 - Getting info about airline...
2016-12-12 14:59:57 INFO  Server:40 - Creating airline...
2016-12-12 15:00:01 INFO  Server:46 - Getting list of airlines...
2016-12-12 15:00:02 INFO  Server:61 - Getting amount of airlines...
2016-12-12 15:00:14 INFO  Server:40 - Creating airline...
2016-12-12 15:00:17 INFO  Server:46 - Getting list of airlines...
2016-12-12 15:00:18 INFO  Server:61 - Getting amount of airlines...
2016-12-12 15:00:24 INFO  Server:67 - Adding passenger airplane into airline...
2016-12-12 15:00:29 INFO  Server:46 - Getting list of airlines...
2016-12-12 15:00:31 INFO  Server:61 - Getting amount of airlines...
2016-12-12 15:00:31 INFO  Server:79 - Getting info about airline...
2016-12-12 15:01:34 INFO  Server:192 - Server started...
2016-12-12 15:01:43 INFO  Server:42 - Creating airline...
2016-12-12 15:01:44 INFO  Server:48 - Getting list of airlines...
2016-12-12 15:01:45 INFO  Server:63 - Getting amount of airlines...
2016-12-12 15:01:51 INFO  Server:69 - Adding passenger airplane into airline...
2016-12-12 15:01:53 INFO  Server:48 - Getting list of airlines...
2016-12-12 15:01:55 INFO  Server:63 - Getting amount of airlines...
2016-12-12 15:01:55 INFO  Server:81 - Getting info about airline...
2016-12-12 15:02:03 INFO  Server:48 - Getting list of airlines...
2016-12-12 15:02:04 INFO  Server:63 - Getting amount of airlines...
2016-12-12 15:02:04 INFO  Server:48 - Getting list of airlines...
2016-12-12 15:02:05 INFO  Server:63 - Getting amount of airlines...
2016-12-12 15:02:08 INFO  Server:165 - Finding airplane by amount of luggage...
2016-12-12 15:03:11 INFO  Server:48 - Getting list of airlines...
2016-12-12 15:03:12 INFO  Server:63 - Getting amount of airlines...
2016-12-12 15:03:12 INFO  Server:81 - Getting info about airline...
2016-12-12 15:03:15 INFO  Server:48 - Getting list of airlines...
2016-12-12 15:03:16 INFO  Server:63 - Getting amount of airlines...
2016-12-12 15:03:20 INFO  Server:69 - Adding passenger airplane into airline...
2016-12-12 15:03:23 INFO  Server:48 - Getting list of airlines...
2016-12-12 15:03:24 INFO  Server:63 - Getting amount of airlines...
2016-12-12 15:03:24 INFO  Server:81 - Getting info about airline...
2016-12-12 15:03:57 INFO  Server:48 - Getting list of airlines...
2016-12-12 15:03:59 INFO  Server:63 - Getting amount of airlines...
2016-12-12 15:03:59 INFO  Server:81 - Getting info about airline...
2016-12-12 15:04:00 INFO  Server:48 - Getting list of airlines...
2016-12-12 15:04:02 INFO  Server:63 - Getting amount of airlines...
2016-12-12 15:04:07 INFO  Server:48 - Getting list of airlines...
2016-12-12 15:04:08 INFO  Server:63 - Getting amount of airlines...
2016-12-12 15:04:12 INFO  Server:105 - Finding airplane by type...
2016-12-12 15:04:14 INFO  Server:48 - Getting list of airlines...
2016-12-12 15:04:19 INFO  Server:63 - Getting amount of airlines...
2016-12-12 15:04:23 INFO  Server:48 - Getting list of airlines...
2016-12-12 15:04:25 INFO  Server:63 - Getting amount of airlines...
2016-12-12 15:04:29 INFO  Server:117 - Finding airplane by model...
2016-12-12 15:06:45 ERROR Client:273 - java.util.NoSuchElementException
2016-12-12 18:42:13 INFO  Server:192 - Server started...
2016-12-12 18:42:25 INFO  Server:42 - Creating airline...
2016-12-12 18:42:27 INFO  Server:48 - Getting list of airlines...
2016-12-12 18:42:33 INFO  Server:63 - Getting amount of airlines...
2016-12-12 18:42:47 INFO  Server:69 - Adding passenger airplane into airline...
2016-12-12 18:42:50 INFO  Server:48 - Getting list of airlines...
2016-12-12 18:42:51 INFO  Server:63 - Getting amount of airlines...
2016-12-12 18:42:51 INFO  Server:81 - Getting info about airline...
